derelict_site_reference_number,full_address,administrative_area_name,derelict_site_status,is_on_current_derelict_sites_register,is_active_derelict_site_case,is_on_current_record_of_protected_structures,is_owned_by_dublin_city_council,date_added_to_the_derelict_sites_register,most_recent_update_date,derelict_site_description,site_location_latitude,site_location_longitude
DS576,113A Phibsborough Road Dublin 7,Central,On Derelict Sites Register,Yes,Yes,No,No,2026-04-14,16/07/2026,"Phibsborough Road, 113A, Dublin 7",53.36415059,-6.271667849
DS2096,17 Slievemore Road Dublin 12 D12WT25,South Central,On Derelict Sites Register,Yes,Yes,No,No,2025-06-26,16/07/2026,"Slievemore Road, 17, Crumlin, Dublin 12",53.32739662,-6.317294299
DS2043,17 Kincora Road Dublin 3 D03AK59,North Central,On Derelict Sites Register,Yes,Yes,No,No,2025-08-11,16/07/2026,"Kincora Road, 17, Clontarf, Dublin 3",53.36297539,-6.20109317
DS2105,144 Benmadigan Road Dublin 12 D12ED90,South Central,On Derelict Sites Register,Yes,Yes,No,No,2025-06-26,16/07/2026,"Benmadigan Road, 144, Crumlin, Dublin 12",53.33456199,-6.3150976959
DS2068,14 Cloonlara Drive Dublin 11 D11N7F3,North West,On Derelict Sites Register,Yes,Yes,No,No,2025-08-05,16/07/2026,"Cloonlara Drive, 14, Finglas, Dublin 11",53.38102355,-6.2963244639
DS743,30 Frederick Street North Dublin 1,Central,On Derelict Sites Register,Yes,Yes,Yes,Yes,2023-04-18,16/07/2026,"Frederick Street North, 30, Dublin 1",53.3551771042,-6.2645829805
DS784,27 Richmond Avenue Dublin 3~|~29 Richmond Avenue Dublin 3~|~21 Richmond Avenue Dublin 3 D03A9C2,North Central,On Derelict Sites Register,Yes,Yes,No,Yes,2012-12-13,16/07/2026,"Richmond Avenue, 21 & 27-29 & lands at rear, Dublin 3",53.36481234,-6.24269542
DS514A,6 Terrace Place Dublin 1,Central,On Derelict Sites Register,Yes,Yes,No,Yes,2008-10-20,16/07/2026,"Terrace Place, 6 (rear 23 Rutland St. Lr.), Dublin 1",53.3545336745,-6.2514152053
DS704,19 Connaught Street Dublin 7,Central,On Derelict Sites Register,Yes,Yes,No,Yes,2018-03-23,16/07/2026,"Connaught Street 19, Phibsborough, Dublin 7",53.3626265405,-6.2742221083
DS705,21 Connaught Street Dublin 7,Central,On Derelict Sites Register,Yes,Yes,No,Yes,2018-03-23,16/07/2026,"Connaught Street 21, Phibsborough, Dublin 7",53.3626354268,-6.2743172387
DS911,37 Thomas Court Dublin 8 D08T2R7,South Central,On Derelict Sites Register,Yes,Yes,No,Yes,2016-02-18,16/07/2026,"Thomas Court, 37, Dublin 8",53.34286128,-6.28148193
DS871A,2 RANELAGH DUBLIN 6 D06KX78  ,South East,On Derelict Sites Register,Yes,Yes,No,Yes,2021-11-12,16/07/2026,"Ranelagh, 2, Dublin 6",53.3264646899,-6.256028606
DS934,10 Ferguson Road Dublin 9 D09K2N2,Central,On Derelict Sites Register,Yes,Yes,No,Yes,2017-09-26,16/07/2026,"Ferguson Road, 10, Drumcondra, Dublin 9",53.37083884,-6.25988168
DS898,1 Mulberry Cottages Martin's Row Chapelizod Dublin 20 D20KW29,South Central,On Derelict Sites Register,Yes,Yes,No,Yes,2015-06-26,16/07/2026,"Mulberry Cottages, 1, Martin's Row, Chapelizod, Dublin 20",53.35025816,-6.345586868
DS899,2 Mulberry Cottages Martin's Row Chapelizod Dublin 20 D20WY20,South Central,On Derelict Sites Register,Yes,Yes,No,Yes,2015-06-26,16/07/2026,"Mulberry Cottages, 2, Martin's Row, Chapelizod, Dublin 20",53.3502278199,-6.345528723
