parcel_id,zone_gzt,zone_orig,zone_desc,site_area_ha,date_added,former_vacant_sites
DCC000061434,R3,Z14 - Strategic Development and Regeneration Areas (SDRAs),"To seek the social, economic and physical development and/or regeneration of an area with mixed-use, of which residential would be the predominant use.",1.921,2022-01-01,
DCC000064087,M3,Z3 - Neighbourhood Centres,To provide for and improve neighbourhood facilities.,0.126,2022-01-01,
DCC000064088,M3,Z3 - Neighbourhood Centres,To provide for and improve neighbourhood facilities.,0.393,2022-01-01,
DCC000064090,M3,Z4 - Key Urban Villages/Urban Villages,To provide for and improve mixed-services facilities.,0.089,2022-01-01,
DCC000064091,M3,Z4 - Key Urban Villages/Urban Villages,To provide for and improve mixed-services facilities.,0.053,2022-01-01,
DCC000064092,M3,Z4 - Key Urban Villages/Urban Villages,To provide for and improve mixed-services facilities.,0.131,2022-01-01,
DCC000064093,M3,Z4 - Key Urban Villages/Urban Villages,To provide for and improve mixed-services facilities.,3.197,2022-01-01,
DCC000064094,M3,Z4 - Key Urban Villages/Urban Villages,To provide for and improve mixed-services facilities.,1.412,2022-01-01,
DCC000064095,M3,Z4 - Key Urban Villages/Urban Villages,To provide for and improve mixed-services facilities.,0.67,2022-01-01,
DCC000064096,M3,Z4 - Key Urban Villages/Urban Villages,To provide for and improve mixed-services facilities.,0.143,2022-01-01,
DCC000064097,M3,Z4 - Key Urban Villages/Urban Villages,To provide for and improve mixed-services facilities.,0.155,2022-01-01,
DCC000064098,M3,Z4 - Key Urban Villages/Urban Villages,To provide for and improve mixed-services facilities.,0.332,2022-01-01,
DCC000064099,M3,Z4 - Key Urban Villages/Urban Villages,To provide for and improve mixed-services facilities.,0.299,2022-01-01,
DCC000064100,M3,Z4 - Key Urban Villages/Urban Villages,To provide for and improve mixed-services facilities.,0.123,2022-01-01,
DCC000064101,M3,Z4 - Key Urban Villages/Urban Villages,To provide for and improve mixed-services facilities.,0.161,2022-01-01,
DCC000064102,M3,Z4 - Key Urban Villages/Urban Villages,To provide for and improve mixed-services facilities.,0.073,2022-01-01,
DCC000064103,M3,Z4 - Key Urban Villages/Urban Villages,To provide for and improve mixed-services facilities.,0.641,2022-01-01,
DCC000064104,M3,Z4 - Key Urban Villages/Urban Villages,To provide for and improve mixed-services facilities.,0.26,2022-01-01,
DCC000064105,M3,Z4 - Key Urban Villages/Urban Villages,To provide for and improve mixed-services facilities.,0.214,2022-01-01,
DCC000064106,M2,Z5 - City Centre,"To consolidate and facilitate the development of the central area, and to identify, reinforce, strengthen and protect its civic design character and dignity.",0.07,2022-01-01,
DCC000064107,M2,Z5 - City Centre,"To consolidate and facilitate the development of the central area, and to identify, reinforce, strengthen and protect its civic design character and dignity.",0.232,2022-01-01,
DCC000064108,M2,Z5 - City Centre,"To consolidate and facilitate the development of the central area, and to identify, reinforce, strengthen and protect its civic design character and dignity.",0.194,2022-01-01,
DCC000064109,M2,Z5 - City Centre,"To consolidate and facilitate the development of the central area, and to identify, reinforce, strengthen and protect its civic design character and dignity.",0.1,2022-01-01,
DCC000064110,M2,Z5 - City Centre,"To consolidate and facilitate the development of the central area, and to identify, reinforce, strengthen and protect its civic design character and dignity.",0.217,2022-01-01,
DCC000064111,M2,Z5 - City Centre,"To consolidate and facilitate the development of the central area, and to identify, reinforce, strengthen and protect its civic design character and dignity.",0.698,2022-01-01,
DCC000064112,M2,Z5 - City Centre,"To consolidate and facilitate the development of the central area, and to identify, reinforce, strengthen and protect its civic design character and dignity.",0.302,2022-01-01,
DCC000064114,M2,Z5 - City Centre,"To consolidate and facilitate the development of the central area, and to identify, reinforce, strengthen and protect its civic design character and dignity.",0.077,2022-01-01,
DCC000064115,M2,Z5 - City Centre,"To consolidate and facilitate the development of the central area, and to identify, reinforce, strengthen and protect its civic design character and dignity.",0.066,2022-01-01,
DCC000064116,M2,Z5 - City Centre,"To consolidate and facilitate the development of the central area, and to identify, reinforce, strengthen and protect its civic design character and dignity.",0.481,2022-01-01,
DCC000064117,M2,Z5 - City Centre,"To consolidate and facilitate the development of the central area, and to identify, reinforce, strengthen and protect its civic design character and dignity.",0.479,2022-01-01,
DCC000064118,M2,Z5 - City Centre,"To consolidate and facilitate the development of the central area, and to identify, reinforce, strengthen and protect its civic design character and dignity.",0.105,2022-01-01,
