register_number,plan_ref,registration_date,app_type,outcome,decision,decision_date,applicant,proposal,overlap_pct,council_confirmed,planning_portal_url
VS-0003,4466/19,2019-11-15,Permission,Refused,REFUSE PERMISSION,2020-01-17,Legendside Ltd.,Permission for residential development on a site m,0.0,True,https://webapps.dublincity.ie/PublicAccess_Live/SearchResult/RunThirdPartySearch?FileSystemId=PL&Folder1_Ref=4466%2F19
VS-0003,0419/19,2019-09-11,Section 5,Granted,Grant  Exemption Certific,2019-10-08,Irish Prison Services,EXPP: this submission to Dublin City Council is to,100.0,True,https://webapps.dublincity.ie/PublicAccess_Live/SearchResult/RunThirdPartySearch?FileSystemId=PL&Folder1_Ref=0419%2F19
VS-0003,3964/14,2015-09-24,Permission,Granted,GRANT PERMISSION,2015-10-21,NOVAS Initiatives,Construction of 13 apartments and a commercial/ret,99.9,True,https://webapps.dublincity.ie/PublicAccess_Live/SearchResult/RunThirdPartySearch?FileSystemId=PL&Folder1_Ref=3964%2F14
VS-0003,3672/13,2014-04-07,Permission,Granted,GRANT PERMISSION,2014-05-02,Crocusglen Ltd.,Construction of 8 no. 3 & 4 bed houses,0.0,True,https://webapps.dublincity.ie/PublicAccess_Live/SearchResult/RunThirdPartySearch?FileSystemId=PL&Folder1_Ref=3672%2F13
VS-0005,WEB2243/25,2025-06-03,Permission                              ,Refused,REFUSE PERMISSION        ,2025-07-25,Halexmain Enterprises Ltd,"We, Halexmain Enterprises Ltd, intend to apply for planning permission for the d",99.1,True,https://webapps.dublincity.ie/PublicAccess_Live/SearchResult/RunThirdPartySearch?FileSystemId=PL&Folder1_Ref=WEB2243%2F25
VS-0005,6705/07,2008-08-18,Permission,Granted,GRANT PERMISSION,2008-09-09,Henry Farrell & Brendan Lawless,Construct a mixed use development with 58 no. apar,99.2,True,https://webapps.dublincity.ie/PublicAccess_Live/SearchResult/RunThirdPartySearch?FileSystemId=PL&Folder1_Ref=6705%2F07
VS-0005,5003/05,2005-10-03,Permission,Granted,GRANT PERMISSION,2005-11-25,BBL Developments Ltd,construct 2 no. 2 bed penthouse apartments and sem,0.7,True,https://webapps.dublincity.ie/PublicAccess_Live/SearchResult/RunThirdPartySearch?FileSystemId=PL&Folder1_Ref=5003%2F05
VS-0005,4752/05,2005-09-14,Permission,Granted,APPLICATION DECLARED INVA,2005-09-27,BBL Developments Ltd,construct 2 No. 2 bed penthouse apartments and sem,0.7,True,https://webapps.dublincity.ie/PublicAccess_Live/SearchResult/RunThirdPartySearch?FileSystemId=PL&Folder1_Ref=4752%2F05
VS-0005,2843/04,2004-05-14,Permission,Granted,GRANT PERMISSION,2004-07-07,BBL Developments,15 sq.m. E.S.B. sub station and switch panel to se,0.7,True,https://webapps.dublincity.ie/PublicAccess_Live/SearchResult/RunThirdPartySearch?FileSystemId=PL&Folder1_Ref=2843%2F04
VS-0005,0250/03,2003-01-24,Permission,Granted,GRANT PERMISSION,2003-05-16,BBL Developments Limited,"construct  70 housing units in four storeys, etc",0.6,True,https://webapps.dublincity.ie/PublicAccess_Live/SearchResult/RunThirdPartySearch?FileSystemId=PL&Folder1_Ref=0250%2F03
VS-0011,4276/24,2024-09-12,LAW,Other,City Council - Approved,2025-01-06,Housing & Community Services,LAW: PROTECTED STRUCTURE: Alteration and extension,76.0,True,https://webapps.dublincity.ie/PublicAccess_Live/SearchResult/RunThirdPartySearch?FileSystemId=PL&Folder1_Ref=4276%2F24
VS-0011,3210/19,2019-06-07,LAW,Other,City Council - Approved,2019-10-07,Dublin City Council,LAW: PROTECTED STRUCTURE: Planning and Development,99.6,True,https://webapps.dublincity.ie/PublicAccess_Live/SearchResult/RunThirdPartySearch?FileSystemId=PL&Folder1_Ref=3210%2F19
VS-0011,2363/06,2006-08-14,Permission,Granted,GRANT PERMISSION,2006-09-06,Cableside Developments,PROTECTED STRUCTURE - provision of 227 no. residen,99.8,True,https://webapps.dublincity.ie/PublicAccess_Live/SearchResult/RunThirdPartySearch?FileSystemId=PL&Folder1_Ref=2363%2F06
